GISJOIN,higher_level,med_inc,ba_prop,pov_prop
G0900090125100,New Haven County,87813,0.26532349602724176,0.08001641362330734
G0900090125200,New Haven County,41843,0.19138991389913898,0.1656299982228541
G0900090125300,New Haven County,48281,0.15306122448979592,0.14534645346453465
G0900090125400,New Haven County,44906,0.1648671096345515,0.20211205632150192
G0900090130101,New Haven County,65140,0.20144284128745837,0.040352314625153624
G0900090130102,New Haven County,75091,0.270521424883841,0.04815073272854152
G0900090130200,New Haven County,82457,0.3463949843260188,0.04042875451473844
G0900090140100,New Haven County,69787,0.8281303602058319,0.15725806451612903
G0900090140200,New Haven County,17500,0.17017828200972449,0.48877005347593583
G0900090140300,New Haven County,36875,0.07545839210155147,0.38695299837925445
G0900090140400,New Haven County,43125,0.22062469013386218,0.35501034584688146
G0900090140500,New Haven County,24750,0.0627659574468085,0.4184272300469484
G0900090140600,New Haven County,31074,0.12678625722103984,0.38666666666666666
G0900090140700,New Haven County,30015,0.39865118021730983,0.3275734386571217
G0900090140800,New Haven County,27526,0.14156378600823044,0.3251336898395722
G0900090140900,New Haven County,37039,0.22450980392156863,0.28017144146176404
G0900090141000,New Haven County,88333,0.6410695920466233,0.056645962732919254
G0900090141100,New Haven County,91994,0.6487948844072798,0.06397083195227046
G0900090141200,New Haven County,36194,0.25078963992419456,0.27214428857715434
G0900090141300,New Haven County,36522,0.32862068965517244,0.25773415831021973
G0900090141400,New Haven County,53250,0.3729767769176636,0.16920069504778454
G0900090141500,New Haven County,25817,0.15022675736961452,0.34012591119946983
G0900090141600,New Haven County,32943,0.23132454488386692,0.30222117202268434
G0900090141800,New Haven County,50125,0.6595590892663534,0.2620977078027321
G0900090141900,New Haven County,74135,0.8317452939809435,0.12126068376068376
G0900090142000,New Haven County,51844,0.8327948303715671,0.2085357390700902
G0900090142100,New Haven County,41250,0.4454106280193237,0.393485342019544
G0900090142200,New Haven County,63200,0.6801173881144534,0.17150573936529373
G0900090142300,New Haven County,36567,0.1309599491417673,0.3218796433878158
G0900090142400,New Haven County,35152,0.06487187804086929,0.36831715742720844
G0900090142500,New Haven County,34375,0.14207807118254878,0.28001387925052046
G0900090142601,New Haven County,49238,0.23301237964236587,0.1547404617651875
G0900090142603,New Haven County,21925,0.1369334619093539,0.3329627570872707
G0900090142604,New Haven County,64180,0.2253199268738574,0.13610071452875128
G0900090142700,New Haven County,39813,0.21719038817005545,0.21920668058455114
G0900090142800,New Haven County,67823,0.45648493057907213,0.033316633266533065
G0900090150100,New Haven County,96304,0.588008800880088,0.051316376617581434
G0900090150200,New Haven County,75449,0.4536041417761848,0.03152206544581207
G0900090150300,New Haven County,86591,0.3628731343283582,0.06802554027504912
G0900090150400,New Haven County,63464,0.27345309381237526,0.07246009627565239
G0900090150500,New Haven County,83981,0.41405307599517494,0.0651077487391105
G0900090150600,New Haven County,103125,0.4329465474605288,0.09444212285833682
G0900090150700,New Haven County,123529,0.44636251541307026,0.0070407040704070405
G0900090150800,New Haven County,78882,0.383756345177665,0.05645805592543276
G0900090150900,New Haven County,108967,0.4791950886766712,0.04138644593895499
G0900090151000,New Haven County,87452,0.3926325247079964,0.03375634517766497
G0900090151100,New Haven County,97538,0.44049247606019154,0.043170661276349984
G0900090151200,New Haven County,82708,0.352847471127041,0.04663536776212832
G0900090154100,New Haven County,56489,0.2711067580803134,0.1743404035178479
G0900090154200,New Haven County,52649,0.2604501607717042,0.13587191691908265
